serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
103,688222,成都先导,0.0075,-100,255.0621,0.0025,108.33,10392.1414,971.5719,3873.0661,-274.5324,3073.4028,131.0186,18166.6683,1431.6084,1019.7697,-4.5698,-1.9432,HY,2024
104,688222,成都先导,0.0065,-13.33,627.0948,0.0021,61.54,15110.5481,1476.8045,5638.4488,-121.9273,5165.1963,170.8745,27439.9448,2601.5359,0.0002,94.5134,-6.1389,Q3,2024
105,688222,成都先导,0.0103,-100,786.1146,10673.6383,197659868.5,5137.1488,377.1331,1782.5705,-355.109,1282.4415,40.959,8265.144,3119.4862,2828.4393,40.959,-17.6244,Q1,2025
106,688222,成都先导,0.0026,-57.38,875.6115,0.0015,15.38,12757.9785,0.0063,0.0064,1077.5682,0.0065,0.0062,36031.1484,-45.7449,0.5136,0.0072,156.0105,FY,2024
107,688222,成都先导,0.0391,421.33,1562.9635,0.0017,-32,10486.7276,919.3983,3695.7493,-1170.2826,2880.849,83.1046,16895.5461,44.4051,5004.2033,-4.5698,-5.993,HY,2025
108,688222,成都先导,0.0208,220,2141.9825,0.0024,14.29,16695.4029,1509.6755,5639.0833,-681.4632,4340.3131,125.3617,27628.3733,10310.4064,14278.1752,0.0048,-6.0574,Q3,2025
109,688276,百克生物,-0.0025,,656.9832,-0.0011,,137223318.9,411627231.1,144471039.9,-20114471.29,133529901.3,969.957,81643.659,18691.5522,1.8154,-6242.6778,-1254.5103,FY,2022
110,688276,百克生物,0.0006,,82.2471,0.003,,2533.54,7125.841,3189.6359,-389.9959,3340.3636,240.7707,16040.1552,1933.0502,1838.1037,-48.4776,-59.1511,Q1,2023
111,688276,百克生物,0.0051,,271.2777,0.0027,,5210.9245,16793.4178,6310.7314,-1005.4494,7589.2088,492.147,42962.8761,11465.708,11138.344,-0.0072,-957.0018,HY,2023
112,688276,百克生物,0.0056,,228.2896,0.0044,,13890.9195,44378.0119,9590.1991,-1054.9823,12600.6418,878.3692,83233.5257,40189.0861,11976.4591,-1562.3639,-2984.8958,Q3,2023
113,688276,百克生物,0.0176,804,385.9842,0.007,736.36,17821.5317,64716.8907,15934.4714,-1224.4178,19807.4583,1304.2236,118360.1579,55929.1025,5.0101,-0.0072,3171.883,FY,2023
114,688276,百克生物,0.023,3733.33,102.3685,0.0051,70,2779.141,9995.4306,3357.067,-145.0564,4694.0336,220.1128,21070.8744,6576.3525,6056.5065,-19.8286,339.0221,Q1,2024
115,688276,百克生物,0.0024,-52.94,244.2065,0.001,-62.96,7475.9646,23319.773,6240.7627,-282.8159,8552.9938,483.3772,45790.0553,16068.9016,13760.4497,970.5901,-1471.4769,HY,2024
116,688276,百克生物,-0.0026,-146.43,376.3807,-0.0017,-138.64,14882.0501,38040.1013,7794.4097,-324.2707,11658.664,780.6106,73123.269,28686.2679,-0.0051,-391.2569,-1051.3087,Q3,2024
117,688276,百克生物,-0.0054,-130.68,480.5755,-0.0033,-147.14,17917.8526,47496.0286,11292.9753,-376.9091,15614.199,996.9603,92941.1066,25788.9033,5.956,-0.0072,-620.0967,FY,2024
118,688276,百克生物,-0.0098,-142.61,54.5679,0.0005,-90.2,2391.2156,-0.0098,2965.6195,21.173,3688.2127,187.2036,16722.557,-747.7637,106.4276,-9.6869,270.8056,Q1,2025
119,688276,百克生物,-0.0153,-737.5,210.1742,-0.0054,-640,6161.5318,16556.4616,5754.0333,47.1067,9316.6982,369.0853,38204.917,5000,-7357.3428,-434.325,672.7258,HY,2025
120,688276,百克生物,-0.0165,-534.62,338.2112,-0.0054,-217.65,11669.5815,-0.0187,7972.3521,120.8307,-0.0187,510.751,62897.7113,-50014.5676,-0.0179,-3828.6666,-28839.763,Q3,2025
