serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year,operating_cf_net_amount,guben
42,301096,百诚医药,0.46,21570.2842,,,4872.1532,,,,1.84,,0.0024,,,,,Q1,2024,-12197.5609,108919903
43,301096,百诚医药,0.07,19641.7118,,,19641.7118,,,,,,,,,,,Q3,2024,-18305.5561,109228284
44,301096,百诚医药,1.24,52506.1535,,,12319.8889,,,,4.88,,0.2023,,,,,HY,2024,-9488.8216,108919903
45,301096,百诚医药,-0.49,80192.3244,,,0.0001,,,,,,-0.7263,,,,,FY,2024,-19585.6926,109228284
46,301096,百诚医药,-0.24,12872.748,,,-3618.2304,,,,,,12872.748,,,,,Q1,2025,-7002.9881,109228284
47,301096,百诚医药,0.03,17753.0569,,,17753.0569,,,,0.12,,,,,,,Q3,2025,-17978.5617,109228284
48,301096,百诚医药,0.03,33235.3113,,,-1173.0145,,,,0.12,,0.2024,,,,,HY,2025,-11441.9239,109228284
49,301033,迈普医学,0.54,19525.2386,,,3589.1785,,,,10.23,,0.2394,,,,,FY,2022,4830.9238,66062951
50,301033,迈普医学,0.12,4448.577,,,715.6332,,,,,,,,,,,Q1,2023,1943.4599,66062951
51,301033,迈普医学,0.2,0.0096,,,0.003,,,,5.16,,,,,,,Q3,2023,7134.6936,66062951
52,301033,迈普医学,0.18,8571.55,,,2108.316,,,,3.65,,941.72,,,,,HY,2023,3675.6765,66062951
53,301033,迈普医学,0.62,23086.9677,,,0.0001,,,,,,0.3723,,,,,FY,2023,10768.6557,66062951
54,301033,迈普医学,0.23,5720.6085,,,1207.2556,,,,2.32,,0.0024,,,,,Q1,2024,1588.8191,66062951
55,301033,迈普医学,0.31,6889.3944,,,5280.2976,,,,,,,,,,,Q3,2024,6337.7355,66062951
56,301033,迈普医学,0.49,12204.6806,,,2767.6148,,,,5.01,,0.2768,,,,,HY,2024,3439.9394,66062951
57,301033,迈普医学,1.2,27844.2127,,,0.0001,,,,,,0.7885,,,,,FY,2024,11638.4353,66519431
58,301033,迈普医学,0.37,7370.3894,,,2292.4938,,,,3.38,,0.0025,,,,,Q1,2025,2920.4747,66519431
59,301033,迈普医学,0.43,9145.0561,,,7279.1914,,,,,,24922.8235,,,,,Q3,2025,8375.8189,66611929
60,301033,迈普医学,0.71,15777.7674,,,4599.6449,,,,6.56,,0.46,,,,,HY,2025,5652.0953,66519431
61,300244,迪安诊断,2.3022,2028246.926,,,75371.0562,,,,21.73,,,,,,,FY,2022,163936.4992,626898036
62,300244,迪安诊断,0.2557,323180.9152,,,16027.399,,,,2.14,,,,,,,Q1,2023,-22872.5676,626898036
63,300244,迪安诊断,0.1237,345032.9131,,,345032.9131,,,,1.04,,,,,,,Q3,2023,36680.9424,626898036
64,300244,迪安诊断,0.7231,684186.58,,,33215.7986,,,,5.91,,0.2022,,,,,HY,2023,2785.2212,626898036
65,300244,迪安诊断,0.4918,1340831.98,,,13856.0477,,,,,,,,,,,FY,2023,192135.4006,626898036
66,300244,迪安诊断,0.0371,297300.5618,,,2353.6278,,,,0.31,,297300.5618,,,,,Q1,2024,-26694.5834,626898036
67,300244,迪安诊断,0.0965,303995.2341,,,5911.0076,,,,0.81,,,,,,,Q3,2024,5420.0048,624979436
68,300244,迪安诊断,0.1153,621815.8527,,,7526.7386,,,,0.96,,0.2023,,,,,HY,2024,-27892.4539,626898036
69,300244,迪安诊断,-0.579,1219622.373,,,0.0001,,,,,,,,,,,FY,2024,120739.5648,624979436
70,300244,迪安诊断,-0.0344,236512.5686,,,-2630.5778,,,,,,236512.5686,,,,,Q1,2025,-16921.6516,624979436
71,300244,迪安诊断,0.076,262910.1734,,,0.2025,,,,,,0.567,,,,,Q3,2025,87171.5623,624979436
72,300244,迪安诊断,0.0168,493648.4994,,,1027.7234,,,,0.16,,,,,,,HY,2025,27770.8584,624979436
73,603127,昭衍新药,86.11,226797.0979,,,97106.6114,,,,13.99,,0.0002,,,,,FY,2022,,
74,603127,昭衍新药,0.35,36938.6011,,,18775.9655,,,,2.27,,0.0001,,,,,Q1,2023,,
75,603127,昭衍新药,-75.71,101207.7288,,,9062.7154,,,,1.1,,0.0001,,,,,HY,2023,,
76,603127,昭衍新药,0.44,57500.2491,,,0.0001,,,,,,,,,,,Q3,2023,,
77,603127,昭衍新药,-63.19,237648.6797,,,0.0063,,,,4.82,,0.0001,,,,,FY,2023,,
78,603127,昭衍新药,-0.36,32480.9104,,,-27222.2475,,,,-3.35,,0.0001,,,,,Q1,2024,,
79,603127,昭衍新药,-291.67,84935.6544,,,-16974.2641,,,,-2.08,,0.0001,,,,,HY,2024,,
80,603127,昭衍新药,-0.09,48579.9506,,,-0.0171,,,,,,0.0002,,,,,Q3,2024,,
81,603127,昭衍新药,-81.13,201833.3772,,,0.0001,,,,0.91,,0.0001,,,,,FY,2024,,
82,603127,昭衍新药,0.05,28733.7235,,,0.0001,,,,0.51,,0.0001,,,,,Q1,2025,,
83,603127,昭衍新药,0.08,66857.5211,,,6093.2399,,,,0.75,,0.0001,,,,,HY,2025,,
84,603127,昭衍新药,0.11,31638.6319,,,-1.5689,,,,0.98,,0.0001,,,,,Q3,2025,,
85,603259,药明康德,72,3935477.781,,,1061602.992,,,,20.62,,0.0002,,,,,FY,2022,,
86,603259,药明康德,0.74,896374.1608,,,216812.8379,,,,4.53,,,,,,,Q1,2023,,
87,603259,药明康德,13.84,1887128.55,,,531311.9704,,,,10.78,,0.0002,,,,,HY,2023,,
88,603259,药明康德,0.94,1067004.064,,,0.2023,,,,0.92,,,,,,,Q3,2023,,
89,603259,药明康德,8.64,4034080.688,,,0.0001,,,,18.99,,0.0001,,,,,FY,2023,,
90,603259,药明康德,0.67,798193.4237,,,194221.0694,,,,3.51,,0.0001,,,,,Q1,2024,,
91,603259,药明康德,-19.34,1724091.826,,,423982.2013,,,,7.62,,0.0001,,,,,HY,2024,,
92,603259,药明康德,0.8,1046108.399,,,0.0001,,,,1.47,,0.0001,,,,,Q3,2024,,
93,603259,药明康德,0.31,3924143.136,,,0.0031,,,,16.78,,,,,,,FY,2024,,
94,603259,药明康德,1.29,965459.5304,,,367196.095,,,,6.08,,,,,,,Q1,2025,,
95,603259,药明康德,106.16,2079928.188,,,856088.2628,,,,13.93,,,,,,,HY,2025,,
96,603259,药明康德,1.24,1205743.463,,,0.0054,,,,1.22,,,,,,,Q3,2025,,
97,688222,成都先导,0.06,32965.0037,,,0.2022,,,,1.91,,0.0002,,,,,FY,2022,,
98,688222,成都先导,-0.02,6957.2588,,,-0.0939,,,,-0.72,,,,,,,Q1,2023,,
99,688222,成都先导,0.03,15565.2757,,,582.1041,,,,0.44,,,,,,,HY,2023,,
100,688222,成都先导,0.03,9007.6557,,,0.0002,,,,,,,,,,,Q3,2023,,
101,688222,成都先导,0.1,37132.4937,,,12520.858,,,,3.09,,,,,,,FY,2023,,
102,688222,成都先导,0.03,10738.2467,,,1394.0029,,,,1,,,,,,,Q1,2024,,
103,688222,成都先导,0.02,19471.9877,,,1019.7697,,,,0.73,,,,,,,HY,2024,,
104,688222,成都先导,0.08,10354.9899,,,0.0002,,,,,,,,,,,Q3,2024,,
105,688222,成都先导,0.07,10673.6383,,,2828.4393,,,,2.01,,-0.0001,,,,,Q1,2025,,
106,688222,成都先导,30,42698.6938,,,0.5136,,,,3.74,,,,,,,FY,2024,,
107,688222,成都先导,0.12,22701.2079,,,5004.2033,,,,3.52,,,,,,,HY,2025,,
108,688222,成都先导,0.11,14278.1752,,,14278.1752,,,,1.51,,,,,,,Q3,2025,,
109,688276,百克生物,0.44,107144.6025,,,1.8154,,,,5.21,,0.6202,,,,,FY,2022,,
110,688276,百克生物,0.04,17943.1529,,,1838.1037,,,,0.51,,,,,,,Q1,2023,,
111,688276,百克生物,0.27,55964.4251,,,11138.344,,,,3.08,,0.3781,,,,,HY,2023,,
112,688276,百克生物,0.8,68354.907,,,11976.4591,,,,,,,,,,,Q3,2023,,
113,688276,百克生物,1.21,182468.8777,,,5.0101,,,,13.23,,3.1947,,,,,FY,2023,,
114,688276,百克生物,0.15,27028.8441,,,6056.5065,,,,1.5,,,,,,,Q1,2024,,
115,688276,百克生物,0.33,61840.1247,,,13760.4497,,,,3.37,,,,,,,HY,2024,,
116,688276,百克生物,0.59,40761.107,,,-0.0051,,,,,,,,,,,Q3,2024,,
117,688276,百克生物,0.56,122908.4097,,,5.956,,,,5.63,,0.0001,,,,,FY,2024,,
118,688276,百克生物,0,16229.0517,,,106.4276,,,,0.03,,,,,,,Q1,2025,,
119,688276,百克生物,-0.18,28489.6171,,,-7357.3428,,,,-1.77,,-0.0155,,,,,HY,2025,,
120,688276,百克生物,-0.38,18954.6595,,,-0.0179,,,,9.78,,,,,,,Q3,2025,,
